Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales after discounts , Profit ,Date,Month Number, Month Name ,Year
Enterprise,Germany, Amarilla , Medium , $994.00 , $260.00 , $125.00 ," $124,250.00 "," $8,697.50 "," $115,552.50 "," $(142,887.50)",9/1/2013,9, September ,2013
Enterprise,Germany, Amarilla , High ," $3,165.00 ", $260.00 , $125.00 ," $395,625.00 "," $43,518.75 "," $352,106.25 "," $(470,793.75)",1/1/2014,1, January ,2014
Enterprise,Germany, Carretera , High ," $2,767.00 ", $3.00 , $125.00 ," $345,875.00 "," $51,881.25 "," $293,993.75 "," $285,692.75 ",8/1/2014,8, August ,2014
Enterprise,Germany, Carretera , High ," $1,085.00 ", $3.00 , $125.00 ," $135,625.00 "," $20,343.75 "," $115,281.25 "," $112,026.25 ",10/1/2014,10, October ,2014
Enterprise,Germany, Paseo , High ," $1,085.00 ", $10.00 , $125.00 ," $135,625.00 "," $20,343.75 "," $115,281.25 "," $104,431.25 ",10/1/2014,10, October ,2014
Enterprise,Germany, VTT , High , $552.00 , $250.00 , $125.00 ," $69,000.00 "," $10,350.00 "," $58,650.00 "," $(79,350.00)",11/1/2014,11, November ,2014
Government,Germany, Carretera , None ," $1,321.00 ", $3.00 , $20.00 ," $26,420.00 ", $-   ," $26,420.00 "," $22,457.00 ",1/1/2014,1, January ,2014
Government,Germany, Carretera , None ," $1,513.00 ", $3.00 , $350.00 ," $529,550.00 ", $-   ," $529,550.00 "," $525,011.00 ",12/1/2014,12, December ,2014
Government,Germany, Montana , None ," $2,146.00 ", $5.00 , $7.00 ," $15,022.00 ", $-   ," $15,022.00 "," $4,292.00 ",9/1/2014,9, September ,2014
Government,Germany, Paseo , None ," $1,006.00 ", $10.00 , $350.00 ," $352,100.00 ", $-   ," $352,100.00 "," $342,040.00 ",6/1/2014,6, June ,2014
Government,Germany, Paseo , None ," $1,513.00 ", $10.00 , $350.00 ," $529,550.00 ", $-   ," $529,550.00 "," $514,420.00 ",12/1/2014,12, December ,2014
Government,Germany, Velo , None ," $1,006.00 ", $120.00 , $350.00 ," $352,100.00 ", $-   ," $352,100.00 "," $231,380.00 ",6/1/2014,6, June ,2014
Government,Germany, Amarilla , None ," $1,686.00 ", $260.00 , $7.00 ," $11,802.00 ", $-   ," $11,802.00 "," $(426,558.00)",7/1/2014,7, July ,2014
Government,Germany, VTT , Low , $263.00 , $250.00 , $7.00 ," $1,841.00 ", $18.41 ," $1,822.59 "," $(63,927.41)",3/1/2014,3, March ,2014
Government,Germany, Velo , Low ," $2,966.00 ", $120.00 , $350.00 ," $1,038,100.00 "," $20,762.00 "," $1,017,338.00 "," $661,418.00 ",10/1/2013,10, October ,2013
Government,Germany, Velo , Low ," $2,877.00 ", $120.00 , $350.00 ," $1,006,950.00 "," $20,139.00 "," $986,811.00 "," $641,571.00 ",10/1/2014,10, October ,2014
Government,Germany, VTT , Low ," $2,877.00 ", $250.00 , $350.00 ," $1,006,950.00 "," $20,139.00 "," $986,811.00 "," $267,561.00 ",10/1/2014,10, October ,2014
Government,Germany, Amarilla , Low ," $2,966.00 ", $260.00 , $350.00 ," $1,038,100.00 "," $20,762.00 "," $1,017,338.00 "," $246,178.00 ",10/1/2013,10, October ,2013
Government,Germany, Carretera , Low ," $2,580.00 ", $3.00 , $20.00 ," $51,600.00 "," $1,548.00 "," $50,052.00 "," $42,312.00 ",4/1/2014,4, April ,2014
Government,Germany, Montana , Low ," $1,958.00 ", $5.00 , $7.00 ," $13,706.00 ", $411.18 ," $13,294.82 "," $3,504.82 ",2/1/2014,2, February ,2014
Government,Germany, Montana , Low ," $1,797.00 ", $5.00 , $350.00 ," $628,950.00 "," $18,868.50 "," $610,081.50 "," $601,096.50 ",9/1/2013,9, September ,2013
Government,Germany, Amarilla , Low ," $1,907.00 ", $260.00 , $350.00 ," $667,450.00 "," $26,698.00 "," $640,752.00 "," $144,932.00 ",9/1/2014,9, September ,2014
Government,Germany, Montana , Medium ," $1,159.00 ", $5.00 , $7.00 ," $8,113.00 ", $405.65 ," $7,707.35 "," $1,912.35 ",10/1/2013,10, October ,2013
Government,Germany, Paseo , Medium ," $1,372.00 ", $10.00 , $7.00 ," $9,604.00 ", $480.20 ," $9,123.80 "," $(4,596.20)",1/1/2014,1, January ,2014
Government,Germany, Amarilla , Medium ," $1,159.00 ", $260.00 , $7.00 ," $8,113.00 ", $405.65 ," $7,707.35 "," $(293,632.65)",10/1/2013,10, October ,2013
Government,Germany, Carretera , Medium ," $1,016.00 ", $3.00 , $7.00 ," $7,112.00 ", $355.60 ," $6,756.40 "," $3,708.40 ",11/1/2013,11, November ,2013
Government,Germany, VTT , Medium ," $2,297.00 ", $250.00 , $20.00 ," $45,940.00 "," $2,297.00 "," $43,643.00 "," $(530,607.00)",11/1/2013,11, November ,2013
Government,Germany, Amarilla , Medium ," $1,350.00 ", $260.00 , $350.00 ," $472,500.00 "," $23,625.00 "," $448,875.00 "," $97,875.00 ",2/1/2014,2, February ,2014
Government,Germany, Montana , Medium ," $1,460.00 ", $5.00 , $350.00 ," $511,000.00 "," $30,660.00 "," $480,340.00 "," $473,040.00 ",5/1/2014,5, May ,2014
Government,Germany, Velo , Medium ," $1,001.00 ", $120.00 , $20.00 ," $20,020.00 "," $1,201.20 "," $18,818.80 "," $(101,301.20)",8/1/2014,8, August ,2014
Government,Germany, Paseo , Medium ," $2,125.00 ", $10.00 , $7.00 ," $14,875.00 "," $1,041.25 "," $13,833.75 "," $(7,416.25)",12/1/2013,12, December ,2013
Government,Germany, Velo , Medium , $588.00 , $120.00 , $20.00 ," $11,760.00 ", $823.20 ," $10,936.80 "," $(59,623.20)",12/1/2013,12, December ,2013
Government,Germany, Montana , Medium , $645.00 , $5.00 , $20.00 ," $12,900.00 "," $1,032.00 "," $11,868.00 "," $8,643.00 ",7/1/2014,7, July ,2014
Government,Germany, Paseo , Medium ," $1,259.00 ", $10.00 , $7.00 ," $8,813.00 ", $705.04 ," $8,107.96 "," $(4,482.04)",4/1/2014,4, April ,2014
Government,Germany, Paseo , Medium ," $1,095.00 ", $10.00 , $7.00 ," $7,665.00 ", $613.20 ," $7,051.80 "," $(3,898.20)",5/1/2014,5, May ,2014
Government,Germany, Paseo , Medium ," $1,366.00 ", $10.00 , $20.00 ," $27,320.00 "," $2,185.60 "," $25,134.40 "," $11,474.40 ",6/1/2014,6, June ,2014
Government,Germany, Paseo , Medium ," $1,598.00 ", $10.00 , $7.00 ," $11,186.00 ", $894.88 ," $10,291.12 "," $(5,688.88)",8/1/2014,8, August ,2014
Government,Germany, Paseo , Medium ," $2,409.00 ", $10.00 , $7.00 ," $16,863.00 "," $1,349.04 "," $15,513.96 "," $(8,576.04)",9/1/2013,9, September ,2013
Government,Germany, Paseo , Medium ," $1,934.00 ", $10.00 , $20.00 ," $38,680.00 "," $3,094.40 "," $35,585.60 "," $16,245.60 ",9/1/2014,9, September ,2014
Government,Germany, Paseo , Medium ," $2,146.00 ", $10.00 , $350.00 ," $751,100.00 "," $60,088.00 "," $691,012.00 "," $669,552.00 ",11/1/2013,11, November ,2013
Government,Germany, Velo , Medium ," $2,338.00 ", $120.00 , $7.00 ," $16,366.00 "," $1,309.28 "," $15,056.72 "," $(265,503.28)",6/1/2014,6, June ,2014
Government,Germany, VTT , Medium ," $2,338.00 ", $250.00 , $7.00 ," $16,366.00 "," $1,309.28 "," $15,056.72 "," $(569,443.28)",6/1/2014,6, June ,2014
Government,Germany, VTT , Medium , $422.00 , $250.00 , $350.00 ," $147,700.00 "," $11,816.00 "," $135,884.00 "," $30,384.00 ",8/1/2014,8, August ,2014
Government,Germany, Amarilla , Medium ," $1,366.00 ", $260.00 , $20.00 ," $27,320.00 "," $2,185.60 "," $25,134.40 "," $(330,025.60)",6/1/2014,6, June ,2014
Government,Germany, Amarilla , Medium ," $1,520.00 ", $260.00 , $20.00 ," $30,400.00 "," $2,432.00 "," $27,968.00 "," $(367,232.00)",11/1/2014,11, November ,2014
Government,Germany, Velo , Medium ," $1,307.00 ", $120.00 , $350.00 ," $457,450.00 "," $41,170.50 "," $416,279.50 "," $259,439.50 ",7/1/2014,7, July ,2014
Government,Germany, Carretera , Medium , $663.00 , $3.00 , $20.00 ," $13,260.00 "," $1,193.40 "," $12,066.60 "," $10,077.60 ",5/1/2014,5, May ,2014
Government,Germany, Paseo , Medium , $360.00 , $10.00 , $7.00 ," $2,520.00 ", $226.80 ," $2,293.20 "," $(1,306.80)",10/1/2014,10, October ,2014
Government,Germany, VTT , Medium , $360.00 , $250.00 , $7.00 ," $2,520.00 ", $226.80 ," $2,293.20 "," $(87,706.80)",10/1/2014,10, October ,2014
Government,Germany, Paseo , High , $241.00 , $10.00 , $20.00 ," $4,820.00 ", $482.00 ," $4,338.00 "," $1,928.00 ",10/1/2014,10, October ,2014
Government,Germany, Velo , High , $241.00 , $120.00 , $20.00 ," $4,820.00 ", $482.00 ," $4,338.00 "," $(24,582.00)",10/1/2014,10, October ,2014
Government,Germany, Velo , High ," $2,665.00 ", $120.00 , $7.00 ," $18,655.00 "," $1,865.50 "," $16,789.50 "," $(303,010.50)",11/1/2014,11, November ,2014
Government,Germany, VTT , High ," $1,870.00 ", $250.00 , $350.00 ," $654,500.00 "," $65,450.00 "," $589,050.00 "," $121,550.00 ",12/1/2013,12, December ,2013
Government,Germany, Carretera , High , $792.00 , $3.00 , $350.00 ," $277,200.00 "," $30,492.00 "," $246,708.00 "," $244,332.00 ",3/1/2014,3, March ,2014
Government,Germany, Montana , High , $766.00 , $5.00 , $350.00 ," $268,100.00 "," $29,491.00 "," $238,609.00 "," $234,779.00 ",1/1/2014,1, January ,2014
Government,Germany, Montana , High ," $2,992.00 ", $5.00 , $20.00 ," $59,840.00 "," $6,582.40 "," $53,257.60 "," $38,297.60 ",10/1/2013,10, October ,2013
Government,Germany, Paseo , High ," $2,992.00 ", $10.00 , $20.00 ," $59,840.00 "," $6,582.40 "," $53,257.60 "," $23,337.60 ",10/1/2013,10, October ,2013
Government,Germany, Paseo , High ," $1,531.00 ", $10.00 , $20.00 ," $30,620.00 "," $3,674.40 "," $26,945.60 "," $11,635.60 ",12/1/2014,12, December ,2014
Government,Germany, VTT , High ," $1,531.00 ", $250.00 , $20.00 ," $30,620.00 "," $3,674.40 "," $26,945.60 "," $(355,804.40)",12/1/2014,12, December ,2014
Government,Germany, Carretera , High , $442.00 , $3.00 , $20.00 ," $8,840.00 "," $1,149.20 "," $7,690.80 "," $6,364.80 ",9/1/2013,9, September ,2013
Government,Germany, Paseo , High ," $2,708.00 ", $10.00 , $20.00 ," $54,160.00 "," $7,040.80 "," $47,119.20 "," $20,039.20 ",2/1/2014,2, February ,2014
Government,Germany, Paseo , High , $357.00 , $10.00 , $350.00 ," $124,950.00 "," $16,243.50 "," $108,706.50 "," $105,136.50 ",11/1/2014,11, November ,2014
Government,Germany, Carretera , High , $280.00 , $3.00 , $7.00 ," $1,960.00 ", $274.40 ," $1,685.60 ", $845.60 ,12/1/2014,12, December ,2014
Government,Germany, VTT , High , $280.00 , $250.00 , $7.00 ," $1,960.00 ", $274.40 ," $1,685.60 "," $(68,314.40)",12/1/2014,12, December ,2014
Government,Germany, Montana , High ," $1,199.00 ", $5.00 , $350.00 ," $419,650.00 "," $58,751.00 "," $360,899.00 "," $354,904.00 ",4/1/2014,4, April ,2014
Government,Germany, Paseo , High ," $1,158.00 ", $10.00 , $20.00 ," $23,160.00 "," $3,474.00 "," $19,686.00 "," $8,106.00 ",3/1/2014,3, March ,2014
Midmarket,Germany, Carretera , None , $888.00 , $3.00 , $15.00 ," $13,320.00 ", $-   ," $13,320.00 "," $10,656.00 ",6/1/2014,6, June ,2014
Enterprise,Germany, Montana , Low ," $1,706.00 ", $5.00 , $125.00 ," $213,250.00 "," $6,397.50 "," $206,852.50 "," $198,322.50 ",12/1/2014,12, December ,2014
Midmarket,Germany, VTT , None , $888.00 , $250.00 , $15.00 ," $13,320.00 ", $-   ," $13,320.00 "," $(208,680.00)",6/1/2014,6, June ,2014
Midmarket,Germany, Paseo , Low , $747.00 , $10.00 , $15.00 ," $11,205.00 ", $112.05 ," $11,092.95 "," $3,622.95 ",9/1/2014,9, September ,2014
Midmarket,Germany, Paseo , Low ," $1,945.00 ", $10.00 , $15.00 ," $29,175.00 ", $875.25 ," $28,299.75 "," $8,849.75 ",10/1/2013,10, October ,2013
Midmarket,Germany, VTT , Low ," $1,945.00 ", $250.00 , $15.00 ," $29,175.00 ", $875.25 ," $28,299.75 "," $(457,950.25)",10/1/2013,10, October ,2013
Midmarket,Germany, Paseo , Medium ," $2,116.00 ", $10.00 , $15.00 ," $31,740.00 "," $1,587.00 "," $30,153.00 "," $8,993.00 ",12/1/2013,12, December ,2013
Midmarket,Germany, Velo , Medium ," $1,530.00 ", $120.00 , $15.00 ," $22,950.00 "," $1,377.00 "," $21,573.00 "," $(162,027.00)",5/1/2014,5, May ,2014
Midmarket,Germany, Paseo , Medium ," $1,743.00 ", $10.00 , $15.00 ," $26,145.00 "," $1,568.70 "," $24,576.30 "," $7,146.30 ",8/1/2014,8, August ,2014
Enterprise,Germany, Montana , Medium ," $2,500.00 ", $5.00 , $125.00 ," $312,500.00 "," $21,875.00 "," $290,625.00 "," $278,125.00 ",11/1/2013,11, November ,2013
Midmarket,Germany, Amarilla , Medium , $711.00 , $260.00 , $15.00 ," $10,665.00 ", $853.20 ," $9,811.80 "," $(175,048.20)",12/1/2014,12, December ,2014
Midmarket,Germany, Amarilla , Medium , $970.00 , $260.00 , $15.00 ," $14,550.00 "," $1,309.50 "," $13,240.50 "," $(238,959.50)",11/1/2013,11, November ,2013
Midmarket,Germany, Velo , High , $681.00 , $120.00 , $15.00 ," $10,215.00 "," $1,021.50 "," $9,193.50 "," $(72,526.50)",1/1/2014,1, January ,2014
Midmarket,Germany, Velo , High , $510.00 , $120.00 , $15.00 ," $7,650.00 ", $765.00 ," $6,885.00 "," $(54,315.00)",4/1/2014,4, April ,2014
Midmarket,Germany, Velo , High , $660.00 , $120.00 , $15.00 ," $9,900.00 "," $1,287.00 "," $8,613.00 "," $(70,587.00)",9/1/2013,9, September ,2013
Midmarket,Germany, Paseo , High , $278.00 , $10.00 , $15.00 ," $4,170.00 ", $583.80 ," $3,586.20 ", $806.20 ,2/1/2014,2, February ,2014
Midmarket,Germany, Carretera , High ," $1,513.00 ", $3.00 , $15.00 ," $22,695.00 "," $3,177.30 "," $19,517.70 "," $14,978.70 ",11/1/2014,11, November ,2014
Midmarket,Germany, Paseo , High ," $1,175.00 ", $10.00 , $15.00 ," $17,625.00 "," $2,643.75 "," $14,981.25 "," $3,231.25 ",10/1/2014,10, October ,2014
Midmarket,Germany, VTT , High , $492.00 , $250.00 , $15.00 ," $7,380.00 "," $1,107.00 "," $6,273.00 "," $(116,727.00)",7/1/2014,7, July ,2014
Midmarket,Germany, VTT , High ," $1,175.00 ", $250.00 , $15.00 ," $17,625.00 "," $2,643.75 "," $14,981.25 "," $(278,768.75)",10/1/2014,10, October ,2014
Small Business,Germany, VTT , Low , $986.00 , $250.00 , $300.00 ," $295,800.00 "," $2,958.00 "," $292,842.00 "," $46,342.00 ",9/1/2014,9, September ,2014
Small Business,Germany, Carretera , Low , $214.00 , $3.00 , $300.00 ," $64,200.00 "," $1,284.00 "," $62,916.00 "," $62,274.00 ",10/1/2013,10, October ,2013
Small Business,Germany, Paseo , Low ," $1,728.00 ", $10.00 , $300.00 ," $518,400.00 "," $10,368.00 "," $508,032.00 "," $490,752.00 ",5/1/2014,5, May ,2014
Small Business,Germany, VTT , Low , $214.00 , $250.00 , $300.00 ," $64,200.00 "," $1,284.00 "," $62,916.00 "," $9,416.00 ",10/1/2013,10, October ,2013
Small Business,Germany, Amarilla , Low , $259.00 , $260.00 , $300.00 ," $77,700.00 "," $1,554.00 "," $76,146.00 "," $8,806.00 ",3/1/2014,3, March ,2014
Small Business,Germany, Carretera , Low , $689.00 , $3.00 , $300.00 ," $206,700.00 "," $6,201.00 "," $200,499.00 "," $198,432.00 ",6/1/2014,6, June ,2014
Small Business,Germany, Paseo , Low , $689.00 , $10.00 , $300.00 ," $206,700.00 "," $6,201.00 "," $200,499.00 "," $193,609.00 ",6/1/2014,6, June ,2014
Small Business,Germany, Carretera , Low ," $2,021.00 ", $3.00 , $300.00 ," $606,300.00 "," $24,252.00 "," $582,048.00 "," $575,985.00 ",10/1/2014,10, October ,2014
Channel Partners,Germany, Montana , None ," $1,545.00 ", $5.00 , $12.00 ," $18,540.00 ", $-   ," $18,540.00 "," $10,815.00 ",6/1/2014,6, June ,2014
Channel Partners,Germany, Montana , Medium ," $2,342.00 ", $5.00 , $12.00 ," $28,104.00 "," $1,405.20 "," $26,698.80 "," $14,988.80 ",11/1/2014,11, November ,2014
Small Business,Germany, Paseo , Low ," $1,414.50 ", $10.00 , $300.00 ," $424,350.00 "," $16,974.00 "," $407,376.00 "," $393,231.00 ",4/1/2014,4, April ,2014
Small Business,Germany, Velo , Medium ," $1,250.00 ", $120.00 , $300.00 ," $375,000.00 "," $18,750.00 "," $356,250.00 "," $206,250.00 ",12/1/2014,12, December ,2014
Small Business,Germany, Amarilla , Medium ," $1,250.00 ", $260.00 , $300.00 ," $375,000.00 "," $18,750.00 "," $356,250.00 "," $31,250.00 ",12/1/2014,12, December ,2014
Small Business,Germany, Paseo , Medium ," $1,123.00 ", $10.00 , $300.00 ," $336,900.00 "," $23,583.00 "," $313,317.00 "," $302,087.00 ",9/1/2013,9, September ,2013
Small Business,France, Montana , Medium ," $2,181.00 ", $5.00 , $300.00 ," $654,300.00 "," $45,801.00 "," $608,499.00 "," $597,594.00 ",10/1/2014,10, October ,2014
Small Business,Germany, VTT , Medium ," $2,659.00 ", $250.00 , $300.00 ," $797,700.00 "," $71,793.00 "," $725,907.00 "," $61,157.00 ",2/1/2014,2, February ,2014
Small Business,Germany, Carretera , High ," $2,811.00 ", $3.00 , $300.00 ," $843,300.00 "," $92,763.00 "," $750,537.00 "," $742,104.00 ",7/1/2014,7, July ,2014
Small Business,Germany, Paseo , High ," $1,359.00 ", $10.00 , $300.00 ," $407,700.00 "," $48,924.00 "," $358,776.00 "," $345,186.00 ",11/1/2014,11, November ,2014
Small Business,Germany, Paseo , High , $807.00 , $10.00 , $300.00 ," $242,100.00 "," $31,473.00 "," $210,627.00 "," $202,557.00 ",1/1/2014,1, January ,2014
Small Business,Germany, Velo , High ," $2,536.00 ", $120.00 , $300.00 ," $760,800.00 "," $106,512.00 "," $654,288.00 "," $349,968.00 ",11/1/2013,11, November ,2013
Small Business,France, Montana , Medium ," $1,562.00 ", $5.00 , $300.00 ," $468,600.00 "," $37,488.00 "," $431,112.00 "," $423,302.00 ",8/1/2014,8, August ,2014
Channel Partners,Mexico, Paseo , Low ," $1,084.00 ", $10.00 , $12.00 ," $13,008.00 ", $260.16 ," $12,747.84 "," $1,907.84 ",12/1/2014,12, December ,2014
Channel Partners,Mexico, Velo , Low ," $1,084.00 ", $120.00 , $12.00 ," $13,008.00 ", $260.16 ," $12,747.84 "," $(117,332.16)",12/1/2014,12, December ,2014
Channel Partners,Mexico, VTT , Low ," $1,916.00 ", $250.00 , $12.00 ," $22,992.00 ", $689.76 ," $22,302.24 "," $(456,697.76)",4/1/2014,4, April ,2014
Channel Partners,Mexico, Amarilla , Medium ," $1,123.00 ", $260.00 , $12.00 ," $13,476.00 ", $673.80 ," $12,802.20 "," $(279,177.80)",8/1/2014,8, August ,2014
Channel Partners,Mexico, Carretera , Medium , $562.00 , $3.00 , $12.00 ," $6,744.00 ", $404.64 ," $6,339.36 "," $4,653.36 ",9/1/2014,9, September ,2014
Channel Partners,Mexico, Carretera , Medium , $727.00 , $3.00 , $12.00 ," $8,724.00 ", $610.68 ," $8,113.32 "," $5,932.32 ",2/1/2014,2, February ,2014
Small Business,France, Montana , Medium , $322.00 , $5.00 , $300.00 ," $96,600.00 "," $8,694.00 "," $87,906.00 "," $86,296.00 ",9/1/2013,9, September ,2013
Channel Partners,Mexico, Paseo , Medium ," $2,763.00 ", $10.00 , $12.00 ," $33,156.00 "," $2,320.92 "," $30,835.08 "," $3,205.08 ",11/1/2013,11, November ,2013
Channel Partners,Mexico, Amarilla , Medium ," $1,375.00 ", $260.00 , $12.00 ," $16,500.00 "," $1,320.00 "," $15,180.00 "," $(342,320.00)",12/1/2013,12, December ,2013
Channel Partners,Mexico, Carretera , Medium , $367.00 , $3.00 , $12.00 ," $4,404.00 ", $396.36 ," $4,007.64 "," $2,906.64 ",10/1/2013,10, October ,2013
Channel Partners,Mexico, Paseo , Medium , $367.00 , $10.00 , $12.00 ," $4,404.00 ", $396.36 ," $4,007.64 ", $337.64 ,10/1/2013,10, October ,2013
Channel Partners,Mexico, VTT , High ," $1,005.00 ", $250.00 , $12.00 ," $12,060.00 "," $1,326.60 "," $10,733.40 "," $(240,516.60)",9/1/2013,9, September ,2013
Small Business,France, Montana , High ," $1,773.00 ", $5.00 , $300.00 ," $531,900.00 "," $63,828.00 "," $468,072.00 "," $459,207.00 ",4/1/2014,4, April ,2014
Small Business,France, Montana , High ," $1,186.00 ", $5.00 , $300.00 ," $355,800.00 "," $42,696.00 "," $313,104.00 "," $307,174.00 ",12/1/2013,12, December ,2013
Channel Partners,Mexico, Paseo , High , $571.00 , $10.00 , $12.00 ," $6,852.00 ", $890.76 ," $5,961.24 ", $251.24 ,7/1/2014,7, July ,2014
Channel Partners,Mexico, Velo , High , $604.00 , $120.00 , $12.00 ," $7,248.00 ", $942.24 ," $6,305.76 "," $(66,174.24)",6/1/2014,6, June ,2014
Channel Partners,Mexico, Velo , High , $410.00 , $120.00 , $12.00 ," $4,920.00 ", $639.60 ," $4,280.40 "," $(44,919.60)",10/1/2014,10, October ,2014
Channel Partners,Mexico, Amarilla , High , $410.00 , $260.00 , $12.00 ," $4,920.00 ", $639.60 ," $4,280.40 "," $(102,319.60)",10/1/2014,10, October ,2014
Channel Partners,Mexico, Velo , High , $500.00 , $120.00 , $12.00 ," $6,000.00 ", $900.00 ," $5,100.00 "," $(54,900.00)",3/1/2014,3, March ,2014
Enterprise,Mexico, Paseo , Low ," $1,823.00 ", $10.00 , $125.00 ," $227,875.00 "," $2,278.75 "," $225,596.25 "," $207,366.25 ",7/1/2014,7, July ,2014
Midmarket,France, Montana , Medium ," $2,501.00 ", $5.00 , $15.00 ," $37,515.00 "," $3,001.20 "," $34,513.80 "," $22,008.80 ",3/1/2014,3, March ,2014
Enterprise,Mexico, Paseo , Low , $662.00 , $10.00 , $125.00 ," $82,750.00 "," $1,655.00 "," $81,095.00 "," $74,475.00 ",6/1/2014,6, June ,2014
Enterprise,Mexico, Paseo , Low ," $2,145.00 ", $10.00 , $125.00 ," $268,125.00 "," $5,362.50 "," $262,762.50 "," $241,312.50 ",10/1/2013,10, October ,2013
Enterprise,Mexico, Velo , Low ," $2,145.00 ", $120.00 , $125.00 ," $268,125.00 "," $5,362.50 "," $262,762.50 "," $5,362.50 ",10/1/2013,10, October ,2013
Enterprise,Mexico, VTT , Low , $662.00 , $250.00 , $125.00 ," $82,750.00 "," $1,655.00 "," $81,095.00 "," $(84,405.00)",6/1/2014,6, June ,2014
Midmarket,France, Montana , High ," $2,072.00 ", $5.00 , $15.00 ," $31,080.00 "," $3,108.00 "," $27,972.00 "," $17,612.00 ",12/1/2014,12, December ,2014
Enterprise,Mexico, Paseo , Low ," $1,138.00 ", $10.00 , $125.00 ," $142,250.00 "," $5,690.00 "," $136,560.00 "," $125,180.00 ",12/1/2014,12, December ,2014
Enterprise,Mexico, Amarilla , Low ," $1,074.00 ", $260.00 , $125.00 ," $134,250.00 "," $5,370.00 "," $128,880.00 "," $(150,360.00)",4/1/2014,4, April ,2014
Enterprise,Mexico, Carretera , Medium ," $1,540.00 ", $3.00 , $125.00 ," $192,500.00 "," $15,400.00 "," $177,100.00 "," $172,480.00 ",8/1/2014,8, August ,2014
Enterprise,Mexico, Paseo , Medium ," $1,114.00 ", $10.00 , $125.00 ," $139,250.00 "," $11,140.00 "," $128,110.00 "," $116,970.00 ",3/1/2014,3, March ,2014
Enterprise,Mexico, Velo , Medium ," $2,110.00 ", $120.00 , $125.00 ," $263,750.00 "," $23,737.50 "," $240,012.50 "," $(13,187.50)",9/1/2014,9, September ,2014
Enterprise,Mexico, VTT , Medium , $877.00 , $250.00 , $125.00 ," $109,625.00 "," $9,866.25 "," $99,758.75 "," $(119,491.25)",11/1/2014,11, November ,2014
Enterprise,Mexico, VTT , High , $341.00 , $250.00 , $125.00 ," $42,625.00 "," $4,262.50 "," $38,362.50 "," $(46,887.50)",5/1/2014,5, May ,2014
Enterprise,Mexico, VTT , High , $554.00 , $250.00 , $125.00 ," $69,250.00 "," $7,617.50 "," $61,632.50 "," $(76,867.50)",1/1/2014,1, January ,2014
Enterprise,Mexico, Amarilla , High , $947.00 , $260.00 , $125.00 ," $118,375.00 "," $13,021.25 "," $105,353.75 "," $(140,866.25)",9/1/2013,9, September ,2013
Enterprise,Mexico, Carretera , High ," $2,156.00 ", $3.00 , $125.00 ," $269,500.00 "," $32,340.00 "," $237,160.00 "," $230,692.00 ",10/1/2014,10, October ,2014
Enterprise,Mexico, Paseo , High ," $2,156.00 ", $10.00 , $125.00 ," $269,500.00 "," $32,340.00 "," $237,160.00 "," $215,600.00 ",10/1/2014,10, October ,2014
Enterprise,Mexico, Carretera , High ," $2,821.00 ", $3.00 , $125.00 ," $352,625.00 "," $49,367.50 "," $303,257.50 "," $294,794.50 ",12/1/2013,12, December ,2013
Enterprise,Mexico, Velo , High ," $1,575.00 ", $120.00 , $125.00 ," $196,875.00 "," $27,562.50 "," $169,312.50 "," $(19,687.50)",2/1/2014,2, February ,2014
Government,Mexico, Paseo , None , $883.00 , $10.00 , $7.00 ," $6,181.00 ", $-   ," $6,181.00 "," $(2,649.00)",8/1/2014,8, August ,2014
Government,Mexico, Velo , None ," $1,493.00 ", $120.00 , $7.00 ," $10,451.00 ", $-   ," $10,451.00 "," $(168,709.00)",1/1/2014,1, January ,2014
Government,Mexico, Carretera , Low ," $1,210.00 ", $3.00 , $350.00 ," $423,500.00 "," $4,235.00 "," $419,265.00 "," $415,635.00 ",3/1/2014,3, March ,2014
Government,Mexico, Carretera , Low ," $1,397.00 ", $3.00 , $350.00 ," $488,950.00 "," $4,889.50 "," $484,060.50 "," $479,869.50 ",10/1/2014,10, October ,2014
Government,Mexico, Velo , Low , $362.00 , $120.00 , $7.00 ," $2,534.00 ", $25.34 ," $2,508.66 "," $(40,931.34)",5/1/2014,5, May ,2014
Government,Mexico, VTT , Low ," $1,397.00 ", $250.00 , $350.00 ," $488,950.00 "," $4,889.50 "," $484,060.50 "," $134,810.50 ",10/1/2014,10, October ,2014
Government,Mexico, Velo , Low , $544.00 , $120.00 , $20.00 ," $10,880.00 ", $217.60 ," $10,662.40 "," $(54,617.60)",12/1/2013,12, December ,2013
Government,Mexico, VTT , Low ," $1,940.00 ", $250.00 , $350.00 ," $679,000.00 "," $13,580.00 "," $665,420.00 "," $180,420.00 ",12/1/2013,12, December ,2013
Government,Mexico, VTT , Low ," $1,642.00 ", $250.00 , $350.00 ," $574,700.00 "," $17,241.00 "," $557,459.00 "," $146,959.00 ",8/1/2014,8, August ,2014
Government,Mexico, Paseo , Low ," $1,760.00 ", $10.00 , $7.00 ," $12,320.00 ", $369.60 ," $11,950.40 "," $(5,649.60)",9/1/2013,9, September ,2013
Government,Mexico, Amarilla , Low ," $1,865.00 ", $260.00 , $350.00 ," $652,750.00 "," $26,110.00 "," $626,640.00 "," $141,740.00 ",2/1/2014,2, February ,2014
